In	Out	Name
0	0	ABORT_ALL_GARAGE_ACTIVITY
1	1	ABORT_SCRIPTED_CONVERSATION
1	1	ABSF
1	1	ABSI
1	0	ACTIVATE_CHEAT
2	0	ACTIVATE_DAMAGE_TRACKER_ON_NETWORK_ID
0	0	ACTIVATE_FRONTEND
2	0	ACTIVATE_HELI_SPEED_CHEAT
2	0	ACTIVATE_INTERIOR
0	0	ACTIVATE_NETWORK_SETTINGS_MENU
0	0	ACTIVATE_SAVE_MENU
2	0	ACTIVATE_SCRIPTED_CAMS
2	0	ACTIVATE_VIEWPORT
3	0	ADD_AMMO_TO_CHAR
2	0	ADD_ARMOUR_TO_CHAR
2	0	ADD_BLIP_FOR_CAR
2	0	ADD_BLIP_FOR_CHAR
4	0	ADD_BLIP_FOR_CONTACT
4	0	ADD_BLIP_FOR_COORD
2	0	ADD_BLIP_FOR_OBJECT
2	0	ADD_BLIP_FOR_PICKUP
2	0	ADD_CAM_SPLINE_NODE
1	0	ADD_CAR_TO_MISSION_DELETION_LIST
9	0	ADD_CHAR_DECISION_MAKER_EVENT_RESPONSE
9	0	ADD_COVER_BLOCKING_AREA
8	0	ADD_COVER_POINT
8	0	ADD_EXPLOSION
4	0	ADD_FOLLOW_NAVMESH_TO_PHONE_TASK
1	0	ADD_GROUP_TO_NETWORK_RESTART_NODE_GROUP_LIST
5	0	ADD_HOSPITAL_RESTART
5	0	ADD_LINE_TO_CONVERSATION
3	0	ADD_LINE_TO_MOBILE_PHONE_CALL
3	0	ADD_NEEDED_AT_POSN
3	0	ADD_NEW_CONVERSATION_SPEAKER
1	0	ADD_NEXT_MESSAGE_TO_PREVIOUS_BRIEFS
2	0	ADD_OBJECT_TO_INTERIOR_ROOM_BY_KEY
2	0	ADD_OBJECT_TO_INTERIOR_ROOM_BY_NAME
2	0	ADD_PED_TO_MISSION_DELETION_LIST
2	0	ADD_PICKUP_TO_INTERIOR_ROOM_BY_NAME
1	0	ADD_POINT_TO_GPS_RACE_TRACK
5	0	ADD_POLICE_RESTART
6	0	ADD_SCENARIO_BLOCKING_AREA
2	0	ADD_SCORE
1	0	ADD_SIMPLE_BLIP_FOR_PICKUP
4	0	ADD_SPAWN_BLOCKING_AREA
1	0	ADD_STRING_TO_NEWS_SCROLLBAR
3	0	ADD_STUCK_CAR_CHECK
7	0	ADD_STUCK_CAR_CHECK_WITH_WARP
16	0	ADD_STUNT_JUMP
2	0	ADD_TO_HTML_SCRIPT_OBJECT
1	0	ADD_TO_PREVIOUS_BRIEF
1	0	ADD_TO_PREVIOUS_BRIEF_WITH_UNDERSCORE
1	0	ADD_TO_WIDGET_COMBO
1	0	ADD_UPSIDEDOWN_CAR_CHECK
2	1	ADD_WIDGET_FLOAT_READ_ONLY
5	1	ADD_WIDGET_FLOAT_SLIDER
2	1	ADD_WIDGET_READ_ONLY
5	1	ADD_WIDGET_SLIDER
2	1	ADD_WIDGET_TOGGLE
5	0	ALLOCATE_SCRIPT_TO_OBJECT
4	0	ALLOCATE_SCRIPT_TO_RANDOM_PED
2	0	ALLOW_AUTO_CONVERSATION_LOOKATS
1	0	ALLOW_EMERGENCY_SERVICES
1	0	ALLOW_GAME_TO_PAUSE_FOR_STREAMING
1	0	ALLOW_GANG_RELATIONSHIPS_TO_BE_CHANGED_BY_NEXT_COMMAND
2	0	ALLOW_LOCKON_TO_FRIENDLY_PLAYERS
1	0	ALLOW_MULTIPLE_DRIVEBY_PICKUPS
0	1	ALLOW_ONE_TIME_ONLY_COMMANDS_TO_RUN
2	0	ALLOW_PLAYER_TO_CARRY_NON_MISSION_OBJECTS
2	0	ALLOW_REACTION_ANIMS
1	0	ALLOW_SCENARIO_PEDS_TO_BE_RETURNED_BY_NEXT_COMMAND
1	0	ALLOW_STUNT_JUMPS_TO_TRIGGER
2	0	ALLOW_TARGET_WHEN_INJURED
1	0	ALLOW_THIS_SCRIPT_TO_BE_PAUSED
2	0	ALTER_WANTED_LEVEL
2	0	ALTER_WANTED_LEVEL_NO_DROP
2	0	ALWAYS_USE_HEAD_ON_HORN_ANIM_WHEN_DEAD_IN_CAR
0	0	AMBIENT_AUDIO_BANK_NO_LONGER_NEEDED
2	0	ANCHOR_BOAT
3	0	ANCHOR_OBJECT
12	0	APPLY_FORCE_TO_CAR
12	0	APPLY_FORCE_TO_OBJECT
12	0	APPLY_FORCE_TO_PED
1	0	APPLY_WANTED_LEVEL_CHANGE_NOW
0	1	ARE_ALL_NAVMESH_REGIONS_LOADED
5	1	ARE_ENEMY_PEDS_IN_AREA
1	1	ARE_TAXI_LIGHTS_ON
0	1	ARE_WIDESCREEN_BORDERS_ACTIVE
1	1	ASIN
1	1	ATAN
2	0	ATTACH_CAM_TO_OBJECT
2	0	ATTACH_CAM_TO_PED
2	0	ATTACH_CAM_TO_VEHICLE
9	0	ATTACH_CAR_TO_CAR
9	0	ATTACH_CAR_TO_OBJECT
9	0	ATTACH_OBJECT_TO_CAR
15	0	ATTACH_OBJECT_TO_CAR_PHYSICALLY
9	0	ATTACH_OBJECT_TO_OBJECT
10	0	ATTACH_OBJECT_TO_PED
10	0	ATTACH_PED_TO_CAR
10	0	ATTACH_PED_TO_CAR_PHYSICALLY
10	0	ATTACH_PED_TO_OBJECT
1	1	AWARD_ACHIEVEMENT
1	0	BEGIN_CAM_COMMANDS
0	0	BEGIN_CHAR_SEARCH_CRITERIA
7	0	BLEND_FROM_NM_WITH_ANIM
1	0	BLEND_OUT_CHAR_MOVE_ANIMS
2	0	BLOCK_CHAR_AMBIENT_ANIMS
2	0	BLOCK_CHAR_GESTURE_ANIMS
2	0	BLOCK_CHAR_HEAD_IK
2	0	BLOCK_CHAR_VISEME_ANIMS
2	0	BLOCK_COWERING_IN_COVER
2	0	BLOCK_PED_WEAPON_SWITCHING
2	0	BLOCK_PEEKING_IN_COVER
3	0	BREAK_CAR_DOOR
2	0	BURST_CAR_TYRE
5	1	CAM_IS_SPHERE_VISIBLE
1	0	CAM_PROCESS
2	0	CAM_SET_INTERP_GRAPH_POS
2	0	CAM_SET_INTERP_GRAPH_ROT
1	0	CANCEL_CURRENTLY_PLAYING_AMBIENT_SPEECH
0	0	CANCEL_OVERRIDE_RESTART
2	1	CAN_CREATE_RANDOM_CHAR
0	1	CAN_PHONE_BE_SEEN_ON_SCREEN
1	1	CAN_PLAYER_START_MISSION
0	1	CAN_REGISTER_MISSION_OBJECT
0	1	CAN_REGISTER_MISSION_PED
0	1	CAN_REGISTER_MISSION_VEHICLE
0	1	CAN_START_MISSION_PASSED_TUNE
1	1	CAN_THE_STAT_HAVE_STRING
1	1	CEIL
2	0	CELL_CAM_ACTIVATE
1	1	CELL_CAM_IS_CHAR_VISIBLE
1	1	CELL_CAM_IS_CHAR_VISIBLE_NO_FACE_CHECK
2	0	CELL_CAM_SET_CENTRE_POS
1	0	CELL_CAM_SET_ZOOM
2	0	CHANGE_BLIP_ALPHA
2	0	CHANGE_BLIP_COLOUR
2	0	CHANGE_BLIP_DISPLAY
2	0	CHANGE_BLIP_NAME_FROM_ASCII
2	0	CHANGE_BLIP_NAME_FROM_TEXT_FILE
2	0	CHANGE_BLIP_PRIORITY
2	0	CHANGE_BLIP_SCALE
2	0	CHANGE_BLIP_SPRITE
3	0	CHANGE_CAR_COLOUR
4	0	CHANGE_CHAR_SIT_IDLE_ANIM
2	0	CHANGE_GARAGE_TYPE
1	0	CHANGE_PICKUP_BLIP_COLOUR
1	0	CHANGE_PICKUP_BLIP_DISPLAY
1	0	CHANGE_PICKUP_BLIP_PRIORITY
