# This file contains all the info about the car colours. There are two
# sections, col which contains the colour table and car which contains 
# the possible indices into the colour table for each car.
#
#
# Press START on controller to reload this file while the game is running.
#
#
#
#
#
#	now in colour order
#	
#
#
# flip colours to be only used on speciel cars...

# the fields after RGB in the colour table are for the police scanner audio - prefix,colour
# prefix can be one of -, bright, light, dark.  Please use '-' (without the quotes) for a colour that is neither light nor dark
# colour can be one of:
# Black, blue, brown, beige, graphite, green, grey, orange, pink, red, silver, white, yellow, GrottiRed, DewbaucheGreen

col
#NEW COLOURS's

245,180,0,-,yellow			# 134 SuperD yellow
5,5,5,-,black				# 135 black
189,149,75,-,gold			# 136 Gold				

end



car3
angel,		74,112,4, 31,4,31, 49,112,49,
bati,		0,0,1, 0,35,1, 85,1,83, 28,0,1, 16,11,5, 1,0,5, 51,0,91, 35,35,33, 48,0,48, 131,1,90, 56,0,50, 67,67,65, 0,127,90, 127,127,90, 35,112,1, 5,112,1, 89,0,1,
daemon,		132,0,131, 128,0,128, 10,0,8, 27,0,132,
double2,	52,61,51, 126,87,126, 127,0,131, 17,1,4, 32,0,36, 69,69,125, 132,0,2,
diabolus,	98,102,6, 102,106,98, 106,106,127, 1,33,6, 31,31,35, 
gburrito	1,2,0,
hakuchou2,	112,112,1,
innovation,     46,46,127, 0,0,63, 52,52,59, 88,88,87, 104,104,89, 2,2,89, 120,120,120, 
lycan,		106,106,105, 1,1,34, 23,23,5, 49,49,54, 92,92,92, 
nightblade,	85,0,82, 0,0,113, 3,0,113, 41,41,41, 54,54,55, 39,0,113,   
packer2, 	76,113,113, 64,79,79, 56,58,59, 1,1,2, 8,31,8, 1,78,8,
pbus, 		65,66,65,
rhapsody,	0,0,33, 7,7,8, 10,10,8, 23,23,8, 57,57,56, 62,62,62, 66,66,66, 72,72,72, 78,78,78, 95,95,95, 104,104,104, 107,107,107, 2,2,63, 21,21,72, 22,22,72, 13,11,91, 19,19,93,
revenant,	1,90,95, 6,93,113, 10,93,113, 33,33,35, 88,17,91, 
regina,		0,0,0, 28,1,0 44,1,0, 51,1,0, 57,1,0, 67,1,0, 128,1,0, 131,1,0,
towtruck,	40,40,39, 52,52,53, 97,97,97, 90,90,90, 52,52,52, 41,41,41, 36,36,36, 41,41,41, 48,48,48, 55,55,55, 57,57,57, 64,64,64, 71,71,71, 77,77,77,
wayfarer,	112,0,8, 31,4,112, 94,1,112, 86,18,112, 18,69,112, 86,69,112,
wolfsbane,	33,0,5, 0,0,112, 52,0,52, 68,0,69, 113,0,113, 102,0,103,
apc,		1,1,1,
avan,		95,95,95,
akuma,		51,56,127, 0,0,29, 0,0,101, 0,1,4, 34,34,31, 85,85,84, 89,0,90, 59,1,59, 82,85,85, 0,7,1, 4,1,1, 29,1,1, 0,4,4,
bati2,		133,133,112,
